"X","Y"
-1224.44429407228,844.555705927724
-1347.60172801776,774.116287990204
-1510.66609605573,684.149740107184
-1886.67977860513,492.562999468134
-2029.90323374221,242.158802218127
-2191.00656979041,124.605553578498
-2426.70293930949,-43.4770026319829
371.037510874557,-1678.86113527679
594.297469777327,-1904.30539077429
615.805507316185,-2070.99268170044
677.050161410095,-2332.60607565475
718.075268566985,-2464.79808760473
1499.65730743388,672.883244124685
1681.96101137979,739.28669843527
1829.76538591531,796.529882556752
1928.85491838543,862.358762146197
2129.75350440824,938.561674085882
2294.68133542828,1030.15874225376
2418.55666263602,1140.53696383421
2565.03515452777,1294.76933499027
2854.18440761593,1476.9143760118
3062.53306628014,1631.24671576307
3261.25346041918,1920.93464943387
3444.58429765314,2073.58429765314
3646.03103188017,2281.11176811058
3762.11471954304,2441.22719936972
3863.9268487185,2581.65772237035
3936.27059954044,2702.38826544116
-218.142366742194,-2348.34801308996
735.744710965218,-2462.71408897011
-1212.25585937519,826.811565302916
-1283.59218639205,1188.35368630899
1907.07114628219,307.049381681523
1915.37942801204,884.533281458505
-1501.46037499119,656.43065017462
-1535.02498807506,1305.24001877574
1652.40612131658,364.41444260535
3291.61238598236,-948.14354683927
1664.81424216795,792.737838615536
3398.0041093138,2105.58018833935
-1193.78247558178,852.559099381879
-1253.9618525385,785.105572139606
-1247.56948058231,1185.02955395666
-1974.58380694067,196.962898464
-2095.85370511595,1617.14306460863
3455.60491761631,-1176.36425033994
1852.78632815103,329.016131820842
1852.57737434459,859.983734830579
-1466.82558685862,1278.71802941379
-4.92168067283458,-1918.11564965456
2750.74867184382,-326.168295685587
2793.83340318985,1533.10656884035
3578.44953340965,2313.24122138985
-1107.18216731797,846.329996226022
-1153.72810763308,804.319900324106
681.868757055567,-1876.07591833335
-1186.49154672915,1192.12265993162
-1259.98840530535,1247.29522245776
65.4406916851546,-1677.9781625776
1286.74011033473,503.39128775139
471.436662452682,-1659.01750948147
-2209.1900653648,1767.71301066391
-11.8098140485654,2934.53146507394
494.392040231166,3352.28663149803
3667.44777623404,-1583.76382611364
2313.66158890729,-64.3317242129161
2901.4790934594,-539.852617033763
2292.38361309634,1196.6961006945
3006.50310238446,1746.05398940161
3841.4987207127,2713.18284986715
