CONTRA,RED
396,452
416,452
438,452
488,452
503,452
515,452
614,452
644,452
653,452
403,453
476,453
566,453
675,453
449,454
621,454
387,455
400,455
418,455
529,455
577,455
663,455
681,455
428,456
457,456
467,456
502,456
559,456
609,456
648,456
658,456
536,457
565,457
587,457
642,457
701,457
495,458
665,458
696,458
501,459
610,459
716,459
456,460
553,460
602,460
680,460
714,460
420,461
470,461
515,461
449,462
478,462
488,462
568,462
636,462
402,463
409,463
464,463
531,463
549,464
628,464
671,464
704,464
425,465
490,465
544,465
692,465
432,466
448,466
480,466
515,466
583,466
645,466
676,466
697,466
410,467
541,467
571,467
455,468
588,468
681,468
494,469
605,469
620,469
527,470
592,470
644,470
648,470
694,470
410,471
434,471
660,471
677,471
424,472
458,472
465,472
477,472
572,472
502,473
540,473
612,473
662,473
420,474
460,474
658,474
434,475
471,475
495,475
564,475
570,475
607,475
443,476
450,476
533,476
538,476
557,476
639,476
662,476
408,478
437,478
502,478
520,478
552,478
654,478
690,478
452,480
471,480
625,480
644,480
648,480
486,481
572,481
675,481
690,481
438,482
519,482
534,482
539,482
550,482
605,482
494,483
547,483
696,483
396,484
421,484
441,484
470,484
576,484
405,485
617,485
691,485
426,486
501,486
677,486
478,487
561,487
591,487
395,488
420,488
569,488
577,488
700,488
490,489
514,489
547,489
586,490
628,490
643,490
678,490
684,490
718,490
417,491
426,491
477,491
671,491
531,492
559,492
562,492
606,493
639,494
717,494
703,495
480,496
483,496
591,496
597,496
727,496
500,497
513,497
519,497
532,497
545,497
654,497
506,498
552,498
561,498
608,498
619,498
734,498
412,499
632,499
701,499
544,500
566,500
667,500
728,500
501,501
537,501
576,501
649,501
708,501
438,502
583,502
614,502
642,503
702,503
739,503
572,504
628,504
694,504
732,504
586,505
691,505
722,505
437,506
662,506
414,507
421,507
442,507
481,507
486,507
511,507
539,507
622,507
722,507
499,508
558,508
590,508
639,508
669,508
675,508
728,508
340,509
442,509
465,509
469,509
523,509
530,509
553,509
403,510
652,510
436,511
489,511
586,511
609,511
623,511
745,511
343,512
439,512
525,512
534,512
733,512
503,513
724,513
341,514
539,514
671,514
496,515
519,515
567,515
592,515
645,515
686,515
697,515
329,516
464,516
625,516
679,516
713,516
729,516
756,516
531,517
620,517
336,518
515,518
539,518
676,518
722,518
380,519
421,519
463,519
548,519
564,520
585,520
602,520
650,520
706,520
750,520
500,521
557,521
658,521
678,521
729,521
323,522
485,522
505,522
620,522
746,522
372,523
427,523
478,523
596,523
634,523
764,523
492,524
695,524
699,524
313,525
333,525
431,525
501,525
514,525
680,525
732,525
338,526
371,526
465,526
533,526
542,526
617,526
743,526
752,526
315,527
401,527
509,527
643,527
686,527
706,527
477,528
598,528
679,528
301,529
